singleplayer        	    0    130  437  164
multiplayer         	    0    164  398  198
start               	    0    198  188  232
exit                	    0    232  130  266
controls            	    0    266  244  292
player1             	    0    292  192  313 
player2             	    0    313  192  332 
ws		                    208  292  274  313
arrows		                208  313  256  332
information         	    130  232  510  266
back		                188  198  338  232
pause		                130  96   248  117
esc                 	    248  96   313  117
gameispaused	            312  96   656  120
continue	    	        398  166  705  201
esctopause          	    274  310  850  328
difficulty          	    0    332  342  364
easy                	    342  328  494  362
normal              	    494  328  720  362
hardcore            	    0    364  304  398
hacker              	    304  364  530  398
#
